nid	module	name
000e53cc	sceNp	sceNpManagerSubSignout
001074d0	cellSysutilAvcExt	cellSysutilAvcExtIsMicAttached
002c338b		_ZNKSt8time_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEE16do_get_monthnameES3_S3_RSt8ios_baseRNSt5_IosbIiE8_IostateEPSt2tm
002cd0bf	cellSysmodule	cellSysmoduleSetInternalmode
002e18d8		_ZNSt6locale7_LocimpD0Ev
002e8da2	cellDmux	cellDmuxPeekAuEx
003395d9		_Feraise
00367be0		fminl
005200e6	cellL10n	UCS2toEUCJP
0053e2d8	libvdec	cellVdecOpenEx
005d0928	cellSsl	SSLCERT_check_private_key
006016da	cellAtrac	cellAtracGetBitrate
006c4900	cellSsl	cellSslCertGetNameEntryInfo
007854f4		_FDclass
0080fe88	cellSync2	cellSync2MutexUnlock
0091a3fd		_ZNKSt6locale9_GetfacetEj
00acf0e5		spu_printf_finalize
00af2519	cellSpurs	cellSpursJobGuardReset
00c3975e		_ZNSt15basic_streambufIcSt11char_traitsIcEE5_LockEv
00cf44f7		_ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE6do_putES3_RSt8ios_basecl
00fb4a6b		spu_thread_sprintf
00fde072		f_powf
01036193	cellFiber	cellFiberPpuContextReturnToThread
01067e22	cellPamf	cellPamfStreamTypeToEsFilterId
010818fc		asinf4
0109f3d3	cellFont	cellFontGetRenderEffectWeight
011ee38b	cellSpurs	_cellSpursLFQueueInitialize
01220224	cellResc	cellRescGcmSurface2RescSrc
0124a94b	cell_FreeType2	FT_Done_Library
0125b2ca		_rand_int32_TT800
012d0a91		_fminf4
01379fd7	sceNp2	sceNpMatching2DestroyContext
01409785		_ZNKSt8time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEE7_GetintERS3_S5_iiRi
014786f2	sceNpTrophy	sceNpTrophyNetworkSync
01508f24		raw_spu_write_float
016556df		_sinf4
017024a8	cellMic	cellMicGetDeviceGUID
01711e81	sceNpTus	sceNpTusDeleteMultiSlotDataVUser
018281a8	cellSail	cellSailGraphicsAdapterGetFrame2
018a1381	cellSysutil	cellSysutilAvcSetLayoutMode
01a4cde0	cellUsbPspcm	cellUsbPspcmPollBindAsync
01aa0cef		_ZNKSt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEE6do_getES3_S3_RSt8ios_baseRNSt5_IosbIiE8_IostateERx
01b0cbf4	cellL10n	l10n_convert
01b84b27		llround
01bbf2e0	cellSpursJq	cellSpursJobQueueGetSpurs
01c4ef01		_ZNSt6localeC2ERKS_S1_i
01cd9cfd	sceNp	sceNpCommerceGetChildProductSkuInfo
01d5f161	cellSsl	SSL_set_session
01d9b3f5		_ZNSt6localeC1EPKci
01ecef7d		_FCbuild
01f04d94	cellSysutil	cellSysutilGamePowerOff_I
01f81190		_ZNSt12codecvt_baseD1Ev
01fbbc9b	sceNp	sceNpBasicSendMessageGui
02065e3d	sceNp2	sceNpMatching2LeaveLobby
020b22f3		_ZNKSt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEE6do_putES3_RSt8ios_basewPKv
02170d1a	cellDmux	cellDmuxQueryEsAttr
021d6c1f	sceNpSns	sceNpSnsFbStreamPublish
0247c69e	cellSail	cellSailGraphicsAdapterGetFrame
0252efcc	cellLibprof	cellUserTraceInit
025b4974	cellSail	cellSailPlayerUnregisterSource
025ce169	cellSearchUtility	cellSearchGetMusicSelectionContext
0264f468		_Wctomb
0266a34c	cellSsl	SSL_set_connect_state
02671310	sys_fs	cellFsSetDefaultContainer
02955295	cellUsbPspcm	cellUsbPspcmRecvAsync
02c5417a	cellSysutilAvc2	cellSysutilAvc2GetPlayerInfo
02c73eb6	cellSsl	BIO_free
02dc41ee	cellSysutilAvc2	cellSysutilAvc2JoinChat
02e20ec1		__sys_printf_basename
02e40598		_ZNSt8time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEE5_InitERKSt8_Locinfo
02e68d44		_f_fmodf
02e7e03e	cellGifDec	cellGifDecExtDecodeData
02eb41bb	libgem	cellGemGetEnvironmentLightingColor
02f4d325		spu_thread_read_double
02f52a3c		_filep_close_it
02f5ced0	cellCamera	cellCameraStop
02ff3c1b	cellSysutil	cellSysutilUnregisterCallback
03217f6f		_ZNSt19istreambuf_iteratorIcSt11char_traitsIcEE5_PeekEv
032cc709		csin
0339259c		_ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE6do_putES3_RSt8ios_basecPKv
033c18f4		_ZNSt8time_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEED1Ev
033c4905	cellSsl	cellSslCertGetRsaPublicKeyExponent
033d5ba0	sceNpMatchingInt	sceNpMatchingCancelRequest
0341bb97	sysPrxForUser	sys_prx_get_module_id_by_address
0356038c	cellL10n	UCS2toUTF32
03593d2c		_f_expf
039d70b7	cellSpurs	cellSpursQueueDetachLv2EventQueue
03a142b9	cellFont	cellFontGraphicsGetDrawType
03a2f42a	sceNp2	sceNpMatching2RegisterLobbyMessageCallback
03aea906		divf4
03becf3c		_Defloc
03c741a7	sceNp	sceNpMatchingGetResult
03cca12f		_ZNSt6localeC1ERKS_PKci
03d1843c	libsynth2	cellSoundSynth2Init
03d90241	cellSysmodule	cellSysmoduleSetDebugmode
03fd2caa	cellPamf	cellPamfReaderSetStreamWithTypeAndChannel
040c18ff		_ZNKSt7_MpunctIwE16do_decimal_pointEv
041cc708	cellPamf	cellPamfReaderGetStreamIndex
0423e622	sceNpTus	sceNpTusGetMultiSlotVariable
042e74e3	cellFont	cellFontCreateRenderer
04372385	sceNp	sceNpBasicGetFriendListEntry
04459230	cellNetCtl	cellNetCtlNetStartDialogLoadAsync
045e124a		_ZdaPv
0490855d		_ZNSt8numpunctIwE7_GetcatEPPKNSt6locale5facetE
04a183fc		strcpy
04a1f19d		raw_spu_write_short
04accebf	cellHttpUtil	cellHttpUtilBuildHeader
04af134e	cellAudio	cellAudioCreateNotifyEventQueue
04af4d22	cell_FreeType2	FT_Outline_GetOutsideBorder
04c06fc2	cellSaveData	cellSaveDataGetListItem
04ca5e6a	sceNp	sceNpScoreRecordGameData
04dd4855	cell_FreeType2	FT_Outline_Get_Orientation
04e1e1e4	cellSysutilAvc2	cellSysutilAvc2StopStreaming
04e7499f	cellDmux	cellDmuxSetStream
04e83d2c	sysPrxForUser	_sys_strncmp
05028763	cellL10n	jis2kuten
051ee3ee	sys_net	socketpoll
0522d1af		_recipf4
052a80d9	cellHttp	cellHttpCreateTransaction
052d29a6	sysPrxForUser	_sys_strcat
05319303	cellSsl	SSL_alert_desc_string_long
05371c8d	cellDmux	cellDmuxDisableEs
054aae63		_fdimf4
055bd74d	cellGcmSys	cellGcmGetTiledPitchSize
055c1462		_ZNSt15basic_streambufIcSt11char_traitsIcEED1Ev
055c1970	cell_FreeType2	FT_New_Size
0561448b	sceNp	sceNpCommerceGetDataFlagAbort
05709bbf	cellMic	cellMicOpenEx
0582338a	cellSpursJq	cellSpursJobQueueAttributeSetDoBusyWaiting
05893e7c	cellLibprof	cellUserTraceRegister
058addc8	cellL10n	UTF8toGB18030
05903101		_ZNKSt7collateIcE7do_hashEPKcS2_
0591826f	cellSearchUtility	cellSearchStartContentSearch
05a1377a	cellGcmSys	cellGcmGetFlipStatus2
05a9cef6		_ZNSt7_MpunctIcE5_InitERKSt8_Locinfo
05af1cb8	sceNp	sceNpBasicGetMatchingInvitationEntry
05bd4438	sys_net	sys_net_get_udpp2p_test_param
05bf2fbd	sceNp2	sceNpMatching2GetWorldInfoList
05c4ee8d	cellPesmUtility	cellPesmInitialize
05c65656	sysPrxForUser	sys_mempool_try_allocate_block
05cb1718		f_fdimf
05d65dff	sceNp	sceNpScoreGetRankingByNpId
05d821c4		_Stoullx
05e27a13		log10f4fast
05ec37c8		_ZSt10_MaklocstrIwEPT_PKcS1_RKSt7_Cvtvec
05efc660		asin
05f1dc9e		_FExp
05f214e0	cellFontFT	FTFaceH_GetMaxVerticalAdvance
060ee3b2	cellL10n	JISstoUTF8s
061049ad	cellFont	cellFontGraphicsSetFontRGBA
0618936b	sysPrxForUser	_sys_vsnprintf
0633edc2	cellSysutil	_ZN8cxmlutil9GetStringERKN4cxml7ElementEPKcPS5_Pj
06574237	sysPrxForUser	_sys_snprintf
065b610d	sceNpTus	sceNpTusSetMultiSlotVariableAsync
066bb1cf	cellMusicDecodeUtility	cellMusicDecodeSetDecodeCommand
068fcbc6	sys_io	sys_config_start
06a553df	cell_FreeType2	FT_Activate_Size
06a840f5	sys_lv2dbg	sys_dbg_set_stacksize_ppu_exception_handler
06bc5b51		_ZNKSt7_MpunctIwE16do_positive_signEv
