arm	fidelity	ordinals
CondCreate	modeled	105
CondDestroy	modeled	106
CondSignal	modeled	108
CondSignalAll	modeled	109
CondSignalTo	modeled	110
CondWait	modeled	107
ConfigAddServiceListener	partial-state	519
ConfigClose	modeled	517
ConfigGetServiceEvent	partial-state	518
ConfigOpen	modeled	516
ConfigRegisterService	partial-state	521
ConfigRemoveServiceListener	modeled	520
ConfigUnregisterService	modeled	522
EventFlagCancel	modeled	132
EventFlagClear	modeled	118
EventFlagCreate	modeled	82
EventFlagDestroy	modeled	83
EventFlagGet	modeled	139
EventFlagSet	modeled	87
EventFlagTryWait	modeled	86
EventFlagWait	modeled	85
EventPortConnectIpc	modeled	140
EventPortConnectLocal	modeled	136
EventPortCreate	abi-only	134
EventPortDestroy	abi-only	135
EventPortDisconnect	modeled	137
EventPortSend	modeled	138
EventQueueCreate	modeled	128
EventQueueDestroy	modeled	129
EventQueueReceive	modeled	130
EventQueueTryReceive	modeled	131
FsClose	modeled	804
FsClosedir	modeled	807
FsFstat	modeled	809
FsLseek	modeled	818
FsOpen	modeled	801
FsOpendir	modeled	805
FsRead	modeled	802
FsReaddir	modeled	806
FsStat	modeled	808
FsWrite	partial-state	803
GamepadYconIf	abi-only	621
HidIsRoot	modeled	512
LwMutexCreate	modeled	95
LwMutexDestroy	modeled	96
LwMutexLock	modeled	97
LwMutexTryLock	modeled	99
LwMutexUnlock	modeled	98
MemoryAllocate	partial-state	348
MemoryAllocateFromContainer	partial-state	350
MemoryContainerCreate	abi-only	341
MemoryContainerCreate324	abi-only	324
MemoryFree	abi-only	349
MemoryGetUserMemorySize	partial-state	352
MmapperAllocateAddress	partial-state	330
MmapperAllocateSharedMemory	partial-state	332
MmapperAllocateSharedMemoryExt	partial-state	339
MmapperAllocateSharedMemoryFromContainer	partial-state	362
MmapperMapSharedMemory	partial-state	334
MmapperSearchAndMap	partial-state	337
MutexCreate	modeled	100
MutexDestroy	modeled	101
MutexLock	modeled	102
MutexTryLock	modeled	103
MutexUnlock	modeled	104
PpuThreadCreate	partial-state	52
PpuThreadExit	modeled	41
PpuThreadGetPriority	modeled	48
PpuThreadJoin	modeled	44
PpuThreadSetPriority	partial-state	47
PpuThreadStart	partial-state	53
PpuThreadYield	modeled	43
ProcessExit	modeled	22
ProcessExit2	partial-state	26
ProcessGetNumberOfObject	partial-state	12
ProcessGetParamsfo	partial-state	30
ProcessGetPid	modeled	1
ProcessGetPpid	modeled	18
ProcessGetPpuGuid	abi-only	31
ProcessGetSdkVersion	modeled	25
ProcessGetStatus	partial-state	4
ProcessIsSpuLockLineReservationAddress	partial-state	14
ProcessIsStack	modeled	none
ProcessSpawn	partial-state	21,27
PrxGetModuleList	partial-state	494
PrxLoadModule	partial-state	480
PrxLoadModuleOnMemcontainer	partial-state	497
PrxRegisterLibrary	partial-state	486
PrxRegisterModule	modeled	484
PrxStartModule	partial-state	481
PrxStopModule	partial-state	482
PrxUnloadModule	partial-state	483
RsxAttribute	abi-only	677
RwlockCreate	abi-only	120
RwlockDestroy	abi-only	121
SemaphoreCreate	modeled	90
SemaphoreDestroy	modeled	91
SemaphoreGetValue	modeled	114
SemaphorePost	modeled	94
SemaphoreTryWait	modeled	93
SemaphoreWait	modeled	92
SpuImageImport	modeled	158
SpuImageOpen	modeled	156
SpuInitialize	partial-state	169
SpuThreadGroupCreate	modeled	170
SpuThreadGroupDestroy	modeled	171
SpuThreadGroupJoin	modeled	178
SpuThreadGroupStart	modeled	173
SpuThreadGroupTerminate	null-backend	177
SpuThreadInitialize	modeled	172
SpuThreadWriteMb	modeled	190
SsAccessControlEngine	modeled	871
SysRsxContextAllocate	partial-state	670
SysRsxContextAttribute	partial-state	674
SysRsxContextFree	abi-only	671
SysRsxContextIomap	modeled	672
SysRsxDeviceMap	partial-state	675
SysRsxMemoryAllocate	partial-state	668
SysRsxMemoryFree	abi-only	669
TimeGetCurrentTime	modeled	145
TimeGetTimebaseFrequency	modeled	147
TimeGetTimezone	abi-only	144
TimerCreate	abi-only	70
TimerDestroy	abi-only	71
TtyRead	modeled	402
TtyWrite	modeled	403
UartGetParams	modeled	370
UartInitialize	modeled	367
UartReceive	partial-state	368
UartSend	partial-state	369
UnsFunc462	modeled	462
UsbdClosePipe	partial-state	539
UsbdDetectEvent	abi-only	541
UsbdFinalize	modeled	531
UsbdGetDescriptor	partial-state	534
UsbdGetDescriptorSize	partial-state	533
UsbdGetDeviceList	partial-state	532
UsbdInitialize	partial-state	530
UsbdOpenDefaultPipe	partial-state	538
UsbdOpenPipe	partial-state	537
UsbdReceiveEvent	partial-state	540
UsbdRegisterLdd	partial-state	535
UsbdUnregisterLdd	partial-state	536
