pup_sha256	module	sites
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	bdplayer/gpu.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libaacenc.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libaacenc_spurs.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libac3dec.sprx	452,5624,5728,5764,5788,5812
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libac3dec2.sprx	312,468,488,1112,1148,1176,1236,1264,1344,1448,1484,1508,1532
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libad_async.sprx	3596,3692,3764,8196,8428,8500,9928,10000
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libad_billboard_util.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libad_core.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libadec.sprx	8248,8288,8504,8524,11832,11868,11896,11956,11984,12556,12888,14876,14920,15228,15280,16116,16508,16708,16864,17180,17348,17692,17780,17800,17932,18228,18364,18444,18464
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libadec2.sprx	8004,8384,8424,8528,8680,9780,12432,12468,12496,12556,12584,12968,13416,15868,16012,16044,16148,16316,16348,16524,17272,18196,18396,18552,18868,19036,19380,19468,19488,19620,19916,20052,20132,20152
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libadec_internal.sprx	8248,8288,8504,8524,11832,11868,11896,11956,11984,12556,12888,14876,14920,15228,15280,16116,16508,16708,16864,17180,17348,17692,17780,17800,17932,18228,18364,18444,18464
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libapostsrc_mini.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libasfparser2_astd.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libat3dec.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libatrac3plus.sprx	14032,14068,14336,14608
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libatxdec.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libatxdec2.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libaudio.sprx	12536,12732,13480,14268,14420
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libavcdec.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libavcenc.sprx	50864,50916,50968,51020,53104,53156,53208,53260,53424,53476,53528,53580
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libavcenc_small.sprx	50856,50908,50960,51012,53096,53148,53200,53252,53416,53468,53520,53572
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libavchatjpgdec.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libcamera.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libcelp8dec.sprx	1500,1644,1960,2316,3000,4548,4640,4776
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libcelp8enc.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libcelpdec.sprx	1532,1676,1992,2344,4468,4560,4696
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libcelpenc.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libdivxdec.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libdmux.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libdmuxpamf.sprx	5616,10056,10632,12936,12984,13176,13224
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libfiber.sprx	956,21420
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libfont.sprx	23028,27388,34800,35860,38220
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libfontFT.sprx	8964,13784,14772
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libfreetype.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libfreetypeTT.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libfs.sprx	1344,1368,2272,2416,2500,3512,7932,8764,10048,10172,10252,11884,12180,27408,28404,28732,31036,36764,37148,37660,38076,38476,39196,39988,47416,52200,53356,53436,53456,54412,54448,54480,54604,54716,54888,56140,57472,57784,60668,60704,60832,60980,61016,61144
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libfs_155.sprx	1332,1436,1892,2772,2808,2840,17976,18956,19008,20036,20848,21524,27224,27308,27388,27452,27904,27928,28768
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libgcm_sys.sprx	1408,3376,3400,6096,13936,17800,18148,29324,29388,33956
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libgifdec.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libhttp.sprx	83452,83480,83548,83712,83752,84044,84124,84148,84476,93488,106860,111976,121912,123712,123880,124052,125168,125448,125744,126036,126324,126600,126872,130564,131100,131584,131824,132076,132316,132556,132796,133036,133276,133516,133744,133936,134176,137596,137832,138140,141516,141980,144592,144844,145112,151428,151748,152036,152324,152724,153124
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libio.sprx	96,1176,1600,1640,2112,2372,2960,8640,8872,8996,10024,10064,10608,10788,10908,11064,11344,19404,19444,19572,20936,20980,21120,21360,21620,22008,23820,23948,33764,33996,34204,40148,40284,40844,42220,42620
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libjpgdec.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libjpgenc.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libkey2char.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libl10n.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/liblv2.sprx	3264,3704,4156,5600,5852,7168,7412,7780,7976,8220,9016,9288,9544,10412,10648,15304,44988,53504,54092,54228,54732,54804,58720,63844,63932,65956,66204,66256,66396,66500,71632,71868
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/liblv2dbg_for_cex.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libm2bcdec.sprx	3524,3768,3920,4464,5868,5996,6020
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libm4aacdec.sprx	4656,10896,33748,70828,100164,106404
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libm4aacdec2ch.sprx	4656,10896,33764,70844,100180,106420
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libm4venc.sprx	32816,32868,32920,32972,33136,33188,33240,33292,33912,33964,34016,34068,238204
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libmedi.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libmic.sprx	6436,9544
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libmp3dec.sprx	75972,78732,80460,83576,83624,84580,84948,87552,88972,88996,94292,99408
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libmp4.sprx	4760,4992,11160,38528,38684
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libmpl1dec.sprx	3252,3496,3648,4192,5572,5700,5724
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libnet.sprx	63504,65328,65552,65768,66024,66256,66528,66776,66984,67216,67440,67712,69240,69512,69760,70000,70240,70480,70720,77848,78072,80612,80732,80812,80836,80976,81020
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libnetctl.sprx	4812,9924
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libpamf.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libpngdec.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libpngenc.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libresc.sprx	13184,13212,13236,13260,13288,13636,13672,13796,13824
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/librtc.sprx	744,2052,7088,8728,14376,14576,14784,14976,15168,15360,16056
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsail.sprx	13312,13852,14016,14360,14592,37624,37892,38152,71652,74460,74548,74796,75108,75800,79148,106576,106636,106732,106784,111864,113272,113540,115216,115496,116016,123696,124644,128496,132544,136632
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsail_avi.sprx	9608,9840,30424,32456,32612
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsail_rec.sprx	532,776,1264,3364,18368,26960,66664,67204,67368,67712,67944
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsjvtd.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsmvd2.sprx	3088,47832,242776
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsmvd4.sprx	132484
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libspurs_jq.sprx	15248,24800,24860,25176
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsre.sprx	7168,7596,7980,17664,34848,41716,51504,51564,51880,76288,77800,84852,84916,98084,98804
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libssl.sprx	285204,285412,285620,286344,286908
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsync2.sprx	364,512,2196
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysmodule.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil.sprx	11748,12692,12716,12744,13500,14392,14412,14432,14456,14700,14720,14740,15940,16128,16316,16504,16688,27688,30820,37544
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_ap.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_authdialog.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_avc2.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_avc_ext.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_avconf_ext.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_bgdl.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_game.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_game_exec.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_imejp.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_misc.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_music.sprx	10000
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_music_decode.sprx	12096
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_music_export.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_np.sprx	127264,129064
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_np2.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_np_clans.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_np_commerce2.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_np_trophy.sprx	none
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_np_tus.sprx	31348,31392
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	sys/external/libsysutil_oskdialog_ext.sprx	none
