ordinal	packet	name	source	disagreement
22	none	sys_process_exit	cellgov	name
22	none	sys_process_exit2	psdevwiki	name
52	none	_sys_ppu_thread_create	cellgov	spelling
52	none	sys_ppu_thread_create	psdevwiki	spelling
95	none	sys_lwmutex_create	cellgov	spelling
95	none	_sys_lwmutex_create	psdevwiki	spelling
96	none	sys_lwmutex_destroy	cellgov	spelling
96	none	_sys_lwmutex_destroy	psdevwiki	spelling
97	none	sys_lwmutex_lock	cellgov	spelling
97	none	_sys_lwmutex_lock	psdevwiki	spelling
98	none	sys_lwmutex_unlock	cellgov	spelling
98	none	_sys_lwmutex_unlock	psdevwiki	spelling
99	none	sys_lwmutex_trylock	cellgov	spelling
99	none	_sys_lwmutex_trylock	psdevwiki	spelling
150	none	sys_raw_spu_create_interrupt_tag	psdevwiki	name
150	none	sys_spu_create_interrupt_tag	psl1ght	name
151	none	sys_raw_spu_set_int_mask	psdevwiki	name
151	none	sys_spu_set_int_mask	psl1ght	name
152	none	sys_raw_spu_get_int_mask	psdevwiki	name
152	none	sys_spu_get_int_mask	psl1ght	name
153	none	sys_raw_spu_set_int_stat	psdevwiki	name
153	none	sys_spu_set_int_stat	psl1ght	name
154	none	sys_raw_spu_get_int_stat	psdevwiki	name
154	none	sys_spu_get_int_stat	psl1ght	name
158	none	sys_spu_image_import	cellgov	name
158	none	sys_spu_image_close	psdevwiki	name
160	none	sys_raw_spu_create	psdevwiki	name
160	none	sys_spu_create	psl1ght	name
161	none	sys_raw_spu_destroy	psdevwiki	name
161	none	sys_spu_destroy	psl1ght	name
163	none	sys_raw_spu_read_puint_mb	psdevwiki	name
163	none	sys_spu_read_puint_mb	psl1ght	name
190	none	sys_spu_thread_write_ls_mb	cellgov	name
190	none	sys_spu_thread_write_spu_mb	psdevwiki	name
190	none	sys_spu_thread_write_spu_mb	psl1ght	name
196	none	sys_raw_spu_set_spu_cfg	psdevwiki	name
196	none	sys_spu_set_spu_cfg	psl1ght	name
197	none	sys_raw_spu_get_spu_cfg	psdevwiki	name
197	none	sys_spu_get_spu_cfg	psl1ght	name
199	none	sys_raw_spu_recover_page_fault	psdevwiki	name
199	none	sys_spu_recover_page_fault	psl1ght	name
341	none	sys_memory_container_create	cellgov	spelling
341	none	_sys_memory_container_create	psdevwiki	spelling
362	none	sys_mmapper_allocate_shared_memory_from_container	cellgov	name
362	none	sys_mmapper_allocate_memory_from_container	psdevwiki	name
480	none	_sys_prx_load_module	cellgov	spelling
480	none	sys_prx_load_module	psdevwiki	spelling
480	none	sys_prx_load_module	psl1ght	spelling
481	none	_sys_prx_start_module	cellgov	spelling
481	none	sys_prx_start_module	psdevwiki	spelling
481	none	sys_prx_start_module	psl1ght	spelling
482	none	_sys_prx_stop_module	cellgov	spelling
482	none	sys_prx_stop_module	psdevwiki	spelling
482	none	sys_prx_stop_module	psl1ght	spelling
483	none	_sys_prx_unload_module	cellgov	spelling
483	none	sys_prx_unload_module	psdevwiki	spelling
483	none	sys_prx_unload_module	psl1ght	spelling
484	none	_sys_prx_register_module	cellgov	spelling
484	none	sys_prx_register_module	psdevwiki	spelling
484	none	sys_prx_register_module	psl1ght	spelling
486	none	_sys_prx_register_library	cellgov	spelling
486	none	sys_prx_register_library	psdevwiki	spelling
486	none	sys_prx_register_library	psl1ght	spelling
494	none	_sys_prx_get_module_list	cellgov	spelling
494	none	sys_prx_get_module_list	psdevwiki	spelling
494	none	sys_prx_get_module_list	psl1ght	spelling
497	none	_sys_prx_load_module_on_memcontainer	cellgov	spelling
497	none	sys_prx_load_module_on_memcontainer	psdevwiki	spelling
497	none	sys_prx_load_module_on_memcontainer	psl1ght	spelling
617	none	sys_storage_check_region_acl	psdevwiki	name
617	none	sys_storage_get_region_acl	psl1ght	name
