fw	order	release_date	priority	role
1.00	100	2006-11-11	3	baseline
1.02	102	2006-11-11	3	none
1.10	110	2006-11-11	3	none
1.11	111	2006-11-28	3	none
1.30	130	2006-12-06	3	none
1.31	131	2006-12-13	3	none
1.32	132	2006-12-21	3	none
1.50	150	2007-01-24	1	none
1.51	151	2007-02-02	3	none
1.54	154	2007-02-28	3	none
1.55	155	none	3	none
1.60	160	2007-03-22	3	none
1.70	170	2007-04-19	3	none
1.80	180	2007-05-24	3	none
1.81	181	2007-06-15	3	none
1.82	182	2007-06-28	3	none
1.90	190	2007-07-24	3	none
1.91	191	none	3	none
1.92	192	2007-09-04	3	none
1.93	193	2007-09-13	3	none
1.94	194	2007-10-25	1	none
1.97	197	2007-11-11	3	none
2.00	200	2007-11-08	3	none
2.01	201	2007-11-20	3	none
2.10	210	2007-12-18	3	none
2.16	216	none	3	none
2.17	217	2008-03-13	3	none
2.20	220	2008-03-25	3	none
2.30	230	2008-04-15	3	none
2.35	235	2008-05-15	3	none
2.36	236	2008-06-17	3	none
2.40	240	2008-07-02	3	none
2.41	241	2008-07-08	3	none
2.42	242	2008-07-30	3	none
2.43	243	2008-09-16	3	none
2.45	245	2008-10-30	3	none
2.50	250	2008-10-14	3	none
2.52	252	2008-11-05	3	none
2.53	253	2008-12-02	3	none
2.60	260	2009-01-21	3	none
2.70	270	2009-04-02	3	none
2.75	275	none	3	none
2.76	276	2009-05-14	1	none
2.80	280	2009-06-24	3	none
3.00	300	2009-09-01	3	none
3.01	301	2009-09-15	3	none
3.10	310	2009-11-19	3	none
3.15	315	2009-12-08	3	none
3.16	316	2010-03-18	3	none
3.20	320	2010-03-19	3	none
3.21	321	2010-04-01	3	none
3.30	330	2010-04-22	3	none
3.40	340	2010-06-29	3	none
3.41	341	2010-07-27	3	none
3.42	342	2010-09-06	3	none
3.50	350	2010-09-21	3	none
3.55	355	2010-12-07	1	census_reference
3.56	356	2011-01-27	3	none
3.60	360	2011-03-09	2	none
3.61	361	2011-05-15	3	none
3.65	365	2011-06-07	3	none
3.66	366	2011-06-23	3	none
3.70	370	2011-08-09	1	none
3.71	371	none	3	none
3.72	372	2011-09-20	3	none
3.73	373	2011-10-18	3	none
3.74	374	none	3	none
4.00	400	2011-11-30	2	none
4.01	401	2011-12-23	3	none
4.10	410	2012-02-08	3	none
4.11	411	2012-02-15	3	none
4.15	415	none	3	none
4.20	420	2012-06-26	3	none
4.21	421	2012-07-05	3	none
4.22	422	none	3	none
4.25	425	2012-09-12	3	none
4.30	430	2012-10-24	3	none
4.31	431	2012-10-30	3	none
4.40	440	2013-03-21	3	none
4.41	441	2013-04-25	3	none
4.45	445	2013-06-19	3	none
4.46	446	2013-06-27	3	none
4.50	450	2013-10-02	3	none
4.53	453	2013-12-04	3	none
4.55	455	2014-02-06	3	none
4.60	460	2014-06-24	3	none
4.65	465	2014-08-26	3	none
4.66	466	2014-11-19	3	none
4.70	470	2015-02-24	3	none
4.75	475	2015-06-02	3	none
4.76	476	2015-09-03	3	none
4.78	478	2016-01-20	3	none
4.80	480	2016-04-20	3	none
4.81	481	2016-11-01	3	none
4.82	482	2017-11-14	3	none
4.83	483	2018-10-11	3	none
4.84	484	2019-02-14	3	none
4.85	485	2019-08-28	3	none
4.86	486	2020-03-31	3	none
4.87	487	2020-12-03	3	none
4.88	488	2021-06-01	3	none
4.89	489	2022-05-10	3	none
4.90	490	2023-02-28	3	none
4.91	491	2024-02-27	3	none
4.92	492	2025-03-05	3	none
4.93	493	2026-03-17	1	final
