ordinal	packet	name	source	ref	fw_from	fw_to
1	none	sys_process_getpid	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_GETPID	none	none
1	none	sys_process_getpid	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
1	none	sys_process_getpid	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_GETPID	none	none
2	none	sys_process_wait_for_child	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
2	none	sys_process_wait_for_child	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_WAIT_FOR_CHILD	none	none
3	none	sys_process_exit	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
4	none	sys_process_get_status	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_GET_STATUS	none	none
4	none	sys_process_get_status	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
4	none	sys_process_get_status	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_GET_STATUS	none	none
5	none	sys_process_detach_child	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
5	none	sys_process_detach_child	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_DETACH_CHILD	none	none
12	none	sys_process_get_number_of_object	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_GET_NUMBER_OF_OBJECT	none	none
12	none	sys_process_get_number_of_object	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
12	none	sys_process_get_number_of_object	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_GET_NUMBER_OF_OBJECT	none	none
13	none	sys_process_get_id	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
13	none	sys_process_get_id	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_GET_ID	none	none
14	none	sys_process_is_spu_lock_line_reservation_address	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_IS_SPU_LOCK_LINE_RESERVATION_ADDRESS	none	none
14	none	sys_process_is_spu_lock_line_reservation_address	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
14	none	sys_process_is_spu_lock_line_reservation_address	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_IS_SPU_LOCK_LINE_RESERVATION_ADDRESS	none	none
18	none	sys_process_getppid	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_GETPPID	none	none
18	none	sys_process_getppid	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
18	none	sys_process_getppid	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_GETPPID	none	none
19	none	sys_process_kill	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
19	none	sys_process_kill	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_KILL	none	none
21	none	_sys_process_spawn	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_SPAWN	none	none
21	none	_sys_process_spawn	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
22	none	sys_process_exit	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_EXIT	none	none
22	none	sys_process_exit2	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
23	none	sys_process_wait_for_child2	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
23	none	sys_process_wait_for_child2	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_WAIT_FOR_CHILD2	none	none
25	none	sys_process_get_sdk_version	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_GET_SDK_VERSION	none	none
25	none	sys_process_get_sdk_version	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
25	none	sys_process_get_sdk_version	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_GET_SDK_VERSION	none	none
26	none	_sys_process_exit2	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_EXIT2	none	none
27	none	sys_process_spawns_a_self2	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_SPAWNS_A_SELF2	none	none
30	none	_sys_process_get_paramsfo	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_GET_PARAMSFO	none	none
30	none	_sys_process_get_paramsfo	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
31	none	sys_process_get_ppu_guid	cellgov	cellgov_ps3_abi::lv2::syscall::PROCESS_GET_PPU_GUID	none	none
31	none	sys_process_get_ppu_guid	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
31	none	sys_process_get_ppu_guid	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PROCESS_GET_PPU_GUID	none	none
41	none	sys_ppu_thread_exit	cellgov	cellgov_ps3_abi::lv2::syscall::PPU_THREAD_EXIT	none	none
41	none	sys_ppu_thread_exit	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
43	none	sys_ppu_thread_yield	cellgov	cellgov_ps3_abi::lv2::syscall::PPU_THREAD_YIELD	none	none
43	none	sys_ppu_thread_yield	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
43	none	sys_ppu_thread_yield	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_YIELD	none	none
44	none	sys_ppu_thread_join	cellgov	cellgov_ps3_abi::lv2::syscall::PPU_THREAD_JOIN	none	none
44	none	sys_ppu_thread_join	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
44	none	sys_ppu_thread_join	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_JOIN	none	none
45	none	sys_ppu_thread_detach	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
45	none	sys_ppu_thread_detach	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_DETACH	none	none
46	none	sys_ppu_thread_get_join_state	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
46	none	sys_ppu_thread_get_join_state	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_GET_JOIN_STATE	none	none
47	none	sys_ppu_thread_set_priority	cellgov	cellgov_ps3_abi::lv2::syscall::PPU_THREAD_SET_PRIORITY	none	none
