ordinal	packet	same_as	selector_slot	provenance_kind	provenance_ref	witness	exception	arm_source
1	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/process/tests/dispatch_tests.rs:getpid_and_getppid_answer_for_the_calling_process	none	crates/cellgov_lv2/src/host/process/dispatch.rs
4	none	none	none	unestablished	none	crates/cellgov_core/src/runtime/tests/process_spawn_tests.rs:child_exit_finishes_only_the_child_process	none	crates/cellgov_lv2/src/host/process/dispatch.rs
12	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/hardware_trace_tests.rs:process_object_counts_rise_on_create_and_fall_on_destroy	none	crates/cellgov_lv2/src/host/process/dispatch.rs
14	none	none	none	non_public	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_process_spu_tests.rs:process_is_spu_lock_line_reservation_address_private_spu_rejects_raw_flag	none	crates/cellgov_lv2/src/host/process/dispatch.rs
18	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/process/tests/dispatch_tests.rs:getpid_and_getppid_answer_for_the_calling_process	none	crates/cellgov_lv2/src/host/process/dispatch.rs
21	none	none	none	citation	CBE-Handbook:p:397	crates/cellgov_core/src/runtime/tests/process_spawn_tests.rs:spawn_creates_child_space_unit_and_pid	none	crates/cellgov_lv2/src/host/process/dispatch.rs
22	none	none	none	unestablished	none	crates/cellgov_core/src/runtime/tests/process_spawn_tests.rs:child_exit_finishes_only_the_child_process	none	crates/cellgov_lv2/src/host/process/dispatch.rs
25	none	none	none	console_capture	ps3autotests:sys_process	crates/cellgov_lv2/src/host/tests/hardware_trace_tests.rs:process_get_sdk_version_answers_the_word_a_retail_console_answers	none	crates/cellgov_lv2/src/host/process/dispatch.rs
26	none	none	none	firmware_reading	liblv2.sprx	crates/cellgov_core/src/runtime/tests/process_spawn_tests.rs:boot_process_exit2_with_empty_argv_finishes_the_run	none	crates/cellgov_lv2/src/host/process/dispatch.rs
27	none	none	none	citation	CBE-Handbook:p:397	crates/cellgov_core/src/runtime/tests/process_spawn_tests.rs:spawn_creates_child_space_unit_and_pid	none	crates/cellgov_lv2/src/host/process/dispatch.rs
30	none	none	none	console_capture	ps3autotests:sys_process	crates/cellgov_lv2/src/host/tests/hardware_trace_tests.rs:process_get_paramsfo_answers_the_sixty_four_bytes_a_console_answers	none	crates/cellgov_lv2/src/host/process/dispatch.rs
31	none	none	none	unestablished	none	none	none	crates/cellgov_lv2/src/host/process/dispatch.rs
41	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/ppu_thread_tests.rs:ppu_thread_exit_wakes_join_waiters	none	crates/cellgov_lv2/src/host/ppu_thread.rs
43	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_process_spu_tests.rs:ppu_thread_yield_is_no_op_returning_ok	none	crates/cellgov_lv2/src/host/dispatch_route/inline_arms.rs
