ordinal	implemented_versions	stub_versions	absent_versions
0	none	1.02,1.10,1.11,1.30,1.31,1.32,1.50,1.51,1.54,1.60,1.70,1.80,1.81,1.82,1.90,1.92,1.93,1.94,2.00,2.01,2.10,2.17,2.20,2.30,2.35,2.36,2.40,2.41,2.42,2.43,2.50,2.52,2.53,2.60,2.70,2.76,2.80,3.00,3.01,3.10,3.15,3.16,3.21,3.30,3.40,3.41,3.42,3.50,3.55,3.56,3.60,3.61,3.65,3.66,3.70,3.71,3.72,3.73,4.00,4.01,4.10,4.11,4.20,4.21,4.25,4.30,4.31,4.40,4.41,4.45,4.46,4.50,4.53,4.55,4.60,4.65,4.66,4.70,4.75,4.76,4.78,4.80,4.81,4.82,4.83,4.84,4.85,4.86,4.87,4.88,4.89,4.90,4.91,4.92,4.93	none
1	1.02,1.10,1.11,1.30,1.31,1.32,1.50,1.51,1.54,1.60,1.70,1.80,1.81,1.82,1.90,1.92,1.93,1.94,2.00,2.01,2.10,2.17,2.20,2.30,2.35,2.36,2.40,2.41,2.42,2.43,2.50,2.52,2.53,2.60,2.70,2.76,2.80,3.00,3.01,3.10,3.15,3.16,3.21,3.30,3.40,3.41,3.42,3.50,3.55,3.56,3.60,3.61,3.65,3.66,3.70,3.71,3.72,3.73,4.00,4.01,4.10,4.11,4.20,4.21,4.25,4.30,4.31,4.40,4.41,4.45,4.46,4.50,4.53,4.55,4.60,4.65,4.66,4.70,4.75,4.76,4.78,4.80,4.81,4.82,4.83,4.84,4.85,4.86,4.87,4.88,4.89,4.90,4.91,4.92,4.93	none	none
2	1.02,1.10,1.11,1.30,1.31,1.32,1.50,1.51,1.54,1.60,1.70,1.80,1.81,1.82,1.90,1.92,1.93,1.94,2.00,2.01,2.10,2.17,2.20,2.30,2.35,2.36,2.40,2.41,2.42,2.43,2.50,2.52,2.53,2.60,2.70,2.76,2.80,3.00,3.01,3.10,3.15,3.16,3.21,3.30,3.40,3.41,3.42,3.50,3.55,3.56,3.60,3.61,3.65,3.66,3.70,3.71,3.72,3.73,4.00,4.01,4.10,4.11,4.20,4.21,4.25,4.30,4.31,4.40,4.41,4.45,4.46,4.50,4.53,4.55,4.60,4.65,4.66,4.70,4.75,4.76,4.78,4.80,4.81,4.82,4.83,4.84,4.85,4.86,4.87,4.88,4.89,4.90,4.91,4.92,4.93	none	none
3	1.02,1.10,1.11,1.30,1.31,1.32,1.50,1.51,1.54,1.60,1.70,1.80,1.81,1.82,1.90,1.92,1.93,1.94,2.00,2.01,2.10,2.17,2.20,2.30,2.35,2.36,2.40,2.41,2.42,2.43,2.50,2.52,2.53,2.60,2.70,2.76,2.80,3.00,3.01,3.10,3.15,3.16,3.21,3.30,3.40,3.41,3.42,3.50,3.55,3.56,3.60,3.61,3.65,3.66,3.70,3.71,3.72,3.73,4.00,4.01,4.10,4.11,4.20,4.21,4.25,4.30,4.31,4.40,4.41,4.45,4.46,4.50,4.53,4.55,4.60,4.65,4.66,4.70,4.75,4.76,4.78,4.80,4.81,4.82,4.83,4.84,4.85,4.86,4.87,4.88,4.89,4.90,4.91,4.92,4.93	none	none
4	1.02,1.10,1.11,1.30,1.31,1.32,1.50,1.51,1.54,1.60,1.70,1.80,1.81,1.82,1.90,1.92,1.93,1.94,2.00,2.01,2.10,2.17,2.20,2.30,2.35,2.36,2.40,2.41,2.42,2.43,2.50,2.52,2.53,2.60,2.70,2.76,2.80,3.00,3.01,3.10,3.15,3.16,3.21,3.30,3.40,3.41,3.42,3.50,3.55,3.56,3.60,3.61,3.65,3.66,3.70,3.71,3.72,3.73,4.00,4.01,4.10,4.11,4.20,4.21,4.25,4.30,4.31,4.40,4.41,4.45,4.46,4.50,4.53,4.55,4.60,4.65,4.66,4.70,4.75,4.76,4.78,4.80,4.81,4.82,4.83,4.84,4.85,4.86,4.87,4.88,4.89,4.90,4.91,4.92,4.93	none	none
5	1.02,1.10,1.11,1.30,1.31,1.32,1.50,1.51,1.54,1.60,1.70,1.80,1.81,1.82,1.90,1.92,1.93,1.94,2.00,2.01,2.10,2.17,2.20,2.30,2.35,2.36,2.40,2.41,2.42,2.43,2.50,2.52,2.53,2.60,2.70,2.76,2.80,3.00,3.01,3.10,3.15,3.16,3.21,3.30,3.40,3.41,3.42,3.50,3.55,3.56,3.60,3.61,3.65,3.66,3.70,3.71,3.72,3.73,4.00,4.01,4.10,4.11,4.20,4.21,4.25,4.30,4.31,4.40,4.41,4.45,4.46,4.50,4.53,4.55,4.60,4.65,4.66,4.70,4.75,4.76,4.78,4.80,4.81,4.82,4.83,4.84,4.85,4.86,4.87,4.88,4.89,4.90,4.91,4.92,4.93	none	none
6	1.02,1.10,1.11,1.30,1.31,1.32,1.50,1.51,1.54,1.60,1.70	1.80,1.81,1.82,1.90,1.92,1.93,1.94,2.00,2.01,2.10,2.17,2.20,2.30,2.35,2.36,2.40,2.41,2.42,2.43,2.50,2.52,2.53,2.60,2.70,2.76,2.80,3.00,3.01,3.10,3.15,3.16,3.21,3.30,3.40,3.41,3.42,3.50,3.55,3.56,3.60,3.61,3.65,3.66,3.70,3.71,3.72,3.73,4.00,4.01,4.10,4.11,4.20,4.21,4.25,4.30,4.31,4.40,4.41,4.45,4.46,4.50,4.53,4.55,4.60,4.65,4.66,4.70,4.75,4.76,4.78,4.80,4.81,4.82,4.83,4.84,4.85,4.86,4.87,4.88,4.89,4.90,4.91,4.92,4.93	none
7	1.02,1.10,1.11,1.30,1.31,1.32,1.50,1.51,1.54,1.60,1.70	1.80,1.81,1.82,1.90,1.92,1.93,1.94,2.00,2.01,2.10,2.17,2.20,2.30,2.35,2.36,2.40,2.41,2.42,2.43,2.50,2.52,2.53,2.60,2.70,2.76,2.80,3.00,3.01,3.10,3.15,3.16,3.21,3.30,3.40,3.41,3.42,3.50,3.55,3.56,3.60,3.61,3.65,3.66,3.70,3.71,3.72,3.73,4.00,4.01,4.10,4.11,4.20,4.21,4.25,4.30,4.31,4.40,4.41,4.45,4.46,4.50,4.53,4.55,4.60,4.65,4.66,4.70,4.75,4.76,4.78,4.80,4.81,4.82,4.83,4.84,4.85,4.86,4.87,4.88,4.89,4.90,4.91,4.92,4.93	none
8	1.02,1.10,1.11,1.30,1.31,1.32,1.50,1.51,1.54,1.60,1.70	1.80,1.81,1.82,1.90,1.92,1.93,1.94,2.00,2.01,2.10,2.17,2.20,2.30,2.35,2.36,2.40,2.41,2.42,2.43,2.50,2.52,2.53,2.60,2.70,2.76,2.80,3.00,3.01,3.10,3.15,3.16,3.21,3.30,3.40,3.41,3.42,3.50,3.55,3.56,3.60,3.61,3.65,3.66,3.70,3.71,3.72,3.73,4.00,4.01,4.10,4.11,4.20,4.21,4.25,4.30,4.31,4.40,4.41,4.45,4.46,4.50,4.53,4.55,4.60,4.65,4.66,4.70,4.75,4.76,4.78,4.80,4.81,4.82,4.83,4.84,4.85,4.86,4.87,4.88,4.89,4.90,4.91,4.92,4.93	none
9	1.02,1.10,1.11,1.30,1.31,1.32,1.50,1.51,1.54,1.60,1.70	1.80,1.81,1.82,1.90,1.92,1.93,1.94,2.00,2.01,2.10,2.17,2.20,2.30,2.35,2.36,2.40,2.41,2.42,2.43,2.50,2.52,2.53,2.60,2.70,2.76,2.80,3.00,3.01,3.10,3.15,3.16,3.21,3.30,3.40,3.41,3.42,3.50,3.55,3.56,3.60,3.61,3.65,3.66,3.70,3.71,3.72,3.73,4.00,4.01,4.10,4.11,4.20,4.21,4.25,4.30,4.31,4.40,4.41,4.45,4.46,4.50,4.53,4.55,4.60,4.65,4.66,4.70,4.75,4.76,4.78,4.80,4.81,4.82,4.83,4.84,4.85,4.86,4.87,4.88,4.89,4.90,4.91,4.92,4.93	none
