pup_sha256	fw	size_bytes	image_version	source_note	acquired
03db91f3401de45271d406ff6abba97391f4721d1a7c3d3c9caf6294deffa1f3	2.76	268435456	0x0000000000007a73	game_disc	2026-04-16
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	3.21	172318525	0x000000000000a20e	operator_archive	2026-09-10
06e04a6b2af39c5a6483a5af8b4891e9ab5f75770f5b246e6ee7c2a6a6734748	2.36	131285344	0x0000000000003edd	operator_archive	2026-09-10
08855e4eb968ac5a1a656950526fb5a7dce3900aca1494f5708a99a825bedb21	3.16	171819477	0x0000000000009a5c	operator_archive	2026-09-10
0a89e88cdc4cb59b194025059050590a0aea28a49c6ac9e6435fef67f4a1c43c	2.42	136716817	0x0000000000004823	operator_archive	2026-09-10
0fcdc479c911a51b8082b77f04d00dbe14ab28633b85806b08842e79bf8e5fde	1.70	111959400	0x00000000000011bc	operator_archive	2026-09-10
1016bd72819539ba43c09300b619f4b8f257e34fe07d8ecb4dcfc82428e35f1a	3.41	175193760	0x000000000000afef	operator_archive	2026-09-10
10a715ab382b16b9bcc976cec963d4a557a604511f30b5a7fe997418d5d1a899	3.00	160980204	0x0000000000008751	operator_archive	2026-09-10
11eb376c163311ee96e157fdcc02d2948e16a824e979f0cc0de85d1dd8d627ab	4.60	206084831	0x000000000000f9a6	operator_archive	2026-09-11
14ad0a4716d2bdf096dab9ecf77b9b838cc64435db7925837a38979fa05f4012	4.86	206126236	0x0000000000010938	operator_archive	2026-09-11
14eae63c9ce142bace97624538ed841944aa8f1248017a49004e21b62af73aec	4.40	203607815	0x000000000000eafc	operator_archive	2026-09-11
158471fd834f8ea8036136b6aab43cd86c7ba73d79ca30e0af3c0fe0001cf365	4.93	206197916	0x0000000000010b94	operator_archive	2026-09-11
15fa19e3f474c176b3ef8310c3fa928b6032bc099fac34011b337af585a67d4e	3.61	185550328	0x000000000000c199	operator_archive	2026-09-11
18420d5f28e83fbd4cb8100ecaf3916d83a67d9496942f7e66c0aaf91dd550e9	1.92	125279424	0x0000000000001c68	operator_archive	2026-09-10
21aee3785b0e838b8ada2996bfc63fedd019fbc139e4c0be849e1961a088a957	1.51	103768480	0x0000000000000c9d	operator_archive	2026-09-10
2b4dc820d62bdf816bdb7f8863976b67365e73068ef71569e42441b528763eab	3.70	194500876	0x000000000000cb00	operator_archive	2026-09-11
32bd2c5881ef23f90183eadae12050fc2fa8af5d442a825d61312815a0ebf19e	1.32	102114176	0x0000000000000a1b	operator_archive	2026-09-10
32e6183501d4a744a50d3248540eee4a7b16a4ecba3d96b8b188b8e749664b94	4.66	206073828	0x000000000000fc85	operator_archive	2026-09-11
334e60a4ef5843a688c1c6aebf0951c3259429233c7a5aca5a24f0edad78a192	3.55	178890320	0x000000000000b99c	operator_archive	2026-09-11
340046b735c7fbd463e66e4f1dd73185b3d8f4027a6fe647519a6fbc03e0dba8	4.45	203786790	0x000000000000ed17	operator_archive	2026-09-11
3a7a482b281a5cfe441b8d192a812f43cc897c62ec4440b7661f43f7efe03fa7	1.90	125177152	0x00000000000019bf	operator_archive	2026-09-10
3bd059c6fdc9757aa59db921ab4ff1743134801de7e00e814efd57621471823f	4.84	206146716	0x00000000000108dd	operator_archive	2026-09-11
422d5b856d37a3f85a0df523ef7cf989a9822b4c84e7de2086433b66d12d709d	2.20	127729779	0x0000000000003036	operator_archive	2026-09-10
42b27603edd30719dba74e0071488b9cff51345e502fe1bb762a66bf02e1248a	4.30	201652852	0x000000000000e72a	operator_archive	2026-09-11
42de6121a1b963edfef29b6a02c2ba5f96864d23e2ca9a060bd8c31d833b7dd7	4.80	206136476	0x000000000001036c	operator_archive	2026-09-11
433ad780d478cc41fcc1895ff954e8cf68890dbc5a87045f4e331b1fbeffdd1e	4.10	198682295	0x000000000000d6a9	operator_archive	2026-09-11
43cd845f3285667c97e72b5dc7deaa26d97ec033e69a61ca1ec4d3dc7b2db22a	2.35	130517344	0x0000000000003b05	operator_archive	2026-09-10
447efdebb00c039b8551c7d7be3bac5c06b1878b90d797b15d3ec473c20ef48d	3.66	186820088	0x000000000000c55f	operator_archive	2026-09-11
495d65fe9ccfe39cbf1c35787d769ef9ca271dbe0ae734e0af1106a7de25695c	1.11	102994816	0x00000000000008b8	operator_archive	2026-09-10
4c7f29cd54366fd75e868c1883744f4f63146c1fef255cca54f596fe7e5c4f86	4.00	189077685	0x000000000000d18a	operator_archive	2026-09-11
4f21b38de3cb5f75c56c909158f5f7ff28f340c39f561a0c177afe76dfd40c58	2.70	149369197	0x00000000000076dd	operator_archive	2026-09-10
4ff64cb0c53910a0bfcc3573e20d742394a4f1724bc8f6ea135816cb72a04005	4.87	206126236	0x00000000000109a5	operator_archive	2026-09-11
506cc36b43951a530b66d07960771dbef4b1fa66ab9459fd76aacd2a52ef4400	1.82	115947032	0x0000000000001762	operator_archive	2026-09-10
56082cf39aa88ab36f4e065b72bd1ebdace6d2e9db9aae5e5750be3c94452279	3.56	184579832	0x000000000000bc76	operator_archive	2026-09-11
5a528a3255ca5b2acff7737c0e2894d4eed51c7fb5e2a141cd67a892baaf4b36	3.41	175193760	0x000000000000afef	operator_archive	2026-09-10
5b595f6985cd233a23eeecb3a792539423938ddf48453a48874502b3d82ae6c9	4.83	206115996	0x0000000000010871	operator_archive	2026-09-11
5d5e18d7a1273aa7e8825a6d533d3b0dcf3c1dc8bb4a496013026136fe784c6f	4.41	203618055	0x000000000000ebbd	operator_archive	2026-09-11
66264bbc3f2c6d01cab1fc5a1a1aefc6caeff8d3b7cce487cd0695f8b9a86618	2.10	125482288	0x00000000000023dd	operator_archive	2026-09-10
66a391ef3253f11d84fd30b39841e0fba0def3c7bf39fdf72f843cae59101c27	2.17	125400160	0x0000000000002dd1	operator_archive	2026-09-10
69070a95780f59fc9e0d82bcf53eb9b28fd4ed4a7d54d0a40045f80422fd98d6	4.90	206126236	0x0000000000010b14	operator_archive	2026-09-11
6ab8e60b1aac766492e37226dfc69a35749ea54a898ec35a29ac9e165b49170d	4.53	204384991	0x000000000000f3c9	operator_archive	2026-09-11
6ad6fbda07e0330ac7ecae9e91a05d9c512d7c93ad173d6952dc66bec7980cf9	4.01	189107344	0x000000000000d3ad	operator_archive	2026-09-11
6c756f6037fdaaf5081f3cf604b57999743f8690e75ff09941c0680d330de6d1	1.94	125289664	0x0000000000001d56	game_disc	2026-08-24
6e146c1d62478aea6658f458c8d9dffa3a8b4038e0287a2a4bbcbf704fdd0da1	3.01	160962601	0x0000000000008924	operator_archive	2026-09-10
6e2e3efb8af40fd01d09ec3bcc2363d88e88869ddb7c929b2ca21eb1fbc05301	1.10	102984576	0x0000000000000848	operator_archive	2026-09-10
72f0ddc4a4dc39fef0814802794c2ce7023d8aa0628b7f843c967b696e2d04bf	4.46	203745830	0x000000000000ed9a	operator_archive	2026-09-11
756d8bfe0b5eb99ffd9266b2fbd84c24cd1c8a039ca4b1c0d88e8f020943a30c	3.60	185548749	0x000000000000be2e	operator_archive	2026-09-11
75ceeeef5de8e02adef43b25232f392caebc2249c4fadba05892106326aba700	4.78	206094308	0x00000000000101f9	operator_archive	2026-09-11
760c801fc2ced71a331e8df0502ff2139d4c8222e871de981962a5d60ff7e15f	4.65	206073828	0x000000000000fb0a	operator_archive	2026-09-11
77c58477c8abe1d8ff0e64c2c34a68a935b4f5f8ceb6fc978f76878593891ece	2.53	144179982	0x00000000000061f3	operator_archive	2026-09-10
7b9b0fe386fd4f708ed6490aaefb3d956f195841683954005cb03b9dca961cdc	3.50	177696774	0x000000000000b437	operator_archive	2026-09-11
7feddf96830a8f811e02ce61d494abbc1c5c3918f895efd4f0fb8706dc430154	2.43	136716817	0x0000000000004a50	operator_archive	2026-09-10
822cfbac0e803140c987cfcb508936d54be9e86d67f8253335e480fca9b913f9	2.41	136716817	0x00000000000043d2	operator_archive	2026-09-10
8491361628abe5862f5101e57878b5852b175b887a98cfc6ba9a3e67d1f6530a	4.88	206146716	0x00000000000109f5	operator_archive	2026-09-11
857ea74fc627079c3f77bf0c28604155ee08c1425a4e216558680f0d93fa5b54	4.75	206268388	0x000000000000feda	operator_archive	2026-09-11
8f20e65bbe4f5750b7bff9ac11139d69c4ca9b1fcfb2cad7b64f31d442bc194d	3.10	167241919	0x0000000000009171	operator_archive	2026-09-10
92927ab51f4ef6b9a83d37e20634936a0fb6b6685d768ab7587184bc85335f20	1.81	115947032	0x0000000000001672	operator_archive	2026-09-10
92f3e05d6ed0520dfedffeb9f759f855b6588cc7c9aff9e80d25b913ae96c36b	3.56	184579832	0x000000000000bc25	operator_archive	2026-09-11
93b4494c8fbceebc731479aa256a07278e64dd135c0138f4138cf666abca090d	3.42	175193760	0x000000000000b307	operator_archive	2026-09-11
964cd7d469af47c42ca5c404f4de718479c86c78f63e725ec801cea40640ee76	2.00	124698576	0x000000000000202d	operator_archive	2026-09-10
99c044293290d0338ffee4ea7d21f993523b1b69012af7f09ae719efe2c9d464	4.92	206177436	0x0000000000010b72	operator_archive	2026-09-11
9c9197f6ceab21d0165f2c85cf3f15d0b096b072052f21959afa1752d4a79be3	4.85	206136476	0x000000000001091d	operator_archive	2026-09-11
9fdc8e58a0dd9fca422ae94ba41c4626828e160cdabad2ca128e0ca8b5be1e83	2.60	145394063	0x0000000000006ee8	operator_archive	2026-09-10
a139882971357e39ce2ed60022d98f985d9b1e3ed9146c3b8f1e62bb5439a611	4.76	206278628	0x000000000000ffea	operator_archive	2026-09-11
a5814c537e7f6e58cf4a496be6e200f4e3246579e63bd352773fb087481346c2	3.30	174497808	0x000000000000a4b4	operator_archive	2026-09-10
a5af7f758d2ea2bcd5a59845a368e1d152cc1af0ea6c20bb9c4a35b207a5b34b	3.40	175131444	0x000000000000ace5	operator_archive	2026-09-10
a6a655fc7e2b960f80b0e42e145a4051283938fcb30c00ca05c6927180b14e00	3.73	194529720	0x000000000000ce86	operator_archive	2026-09-11
a70669bc35a5d688c94f5db8e1eb4110295b1b076ccc3c8e4a7e9ee397a6ca41	4.82	206167196	0x00000000000105f2	operator_archive	2026-09-11
aa3cbd5393f5dbbea0c3ae05194f77c3f1d8aa7ae54938a6b54359a5408e1424	3.71	194529720	0x000000000000cbfd	operator_archive	2026-09-11
ae45618ea8760dfc6a02143e432ae2242a97fbfc0854c56faef76b4513539fd8	1.50	103768480	0x0000000000000bc6	operator_archive	2026-09-10
ae7d16ecad7eb88a397ab2ab94d1d3a4e8871a3210854373a1aa9fc9b8e17b49	2.40	136710765	0x000000000000427f	operator_archive	2026-09-10
b24448accd1fe3206203e7e5aad1341682e24e2433d56e4b16aae9f3b19a2e3e	1.02	95358584	0x00000000000006fc	operator_archive	2026-09-10
b3d3b6eeca41ddfe88a354c6403917ed30ac62ffa14432c34016a86995c3e35a	1.30	102093696	0x0000000000000960	operator_archive	2026-09-10
b4c998a79c2631b6845176bf2d8db1c8d2041ffd829c54c2190b5900a43fd494	1.54	103758240	0x0000000000000deb	operator_archive	2026-09-10
b9fc7405f0afae1c767591e048f478154ba1e49ff65ab101f7bde3c3b9a8df03	2.30	130530965	0x00000000000035d2	operator_archive	2026-09-10
bc94bd849036b596735d1ea577562baa1562c5bfe40bfc59397e33a1ad0380f7	4.91	206187676	0x0000000000010b28	operator_archive	2026-09-11
bf72555afb6442c3227aefb34bd3567bc4e26e2a8a2ba4814fa5e1cec6150ea2	2.50	144074159	0x0000000000005b48	operator_archive	2026-09-10
c08bbaaba2063b432a9253eec8f7fbc3a57e57478f98a7508a6cab54cb150f65	4.81	206156956	0x00000000000104e2	operator_archive	2026-09-11
d16a0c1d3dd35518767fd56ca120fa1caedc74005d5251fe117a501593347433	1.60	109061008	0x0000000000000f64	operator_archive	2026-09-10
d18356dc4230b5f6a5ea27e34569d54ade622132b5347302bc8fd42e0f85790e	2.01	124699328	0x00000000000020ea	operator_archive	2026-09-10
d73277de2c7df4e35c9a522541da88edb1578c1fcd928365907d0a0868ba16a1	4.31	201641671	0x000000000000e771	operator_archive	2026-09-11
d98c1f9499bb0a475d25dae08ce2e4737f572830861292f6238f000b17ad1350	3.65	186820088	0x000000000000c264	operator_archive	2026-09-11
db521e37c593dca358a0b93c029871890a4d101d7d0d216dbc516b74952f1c56	2.76	149341926	0x0000000000007a73	operator_archive	2026-09-10
dcfafbbeb8dba8ecf36d36e18bbf78a700094dedd63b8b55920886c9fac20bd1	4.25	202059824	0x000000000000e56a	operator_archive	2026-09-11
e35c77ae5688a19a2dec923258165cffd748212b93196432ae5ea401ca4f0fbe	2.52	144057102	0x0000000000005ecb	operator_archive	2026-09-10
e72405edbff0fec23bc4761e131848670d797caf37c5c5e7b40e9fa3d7ac6659	4.21	201517104	0x000000000000e2d7	operator_archive	2026-09-11
e953cc7b11d9095baf678cc7a5d4214b623383589593848e3e5e18e91df24027	1.31	102103936	0x00000000000009be	operator_archive	2026-09-10
ef033f897242237848eaffee97256a8998da8848e0c6cc05b68e6810a9110179	4.89	206197040	0x0000000000010aad	operator_archive	2026-09-11
ef754c4fe2ec4ac071c66c1b17bb5a66c9d0595898ad66b296c534d2a7860639	4.55	204373988	0x000000000000f580	operator_archive	2026-09-11
efecc32768d26275f0990825e91e8e0fdde071d4aefe5a748b5a51e1e253f830	2.80	149597830	0x0000000000007f46	operator_archive	2026-09-10
f2d5fbef42107048aefa20bf38524b7adadb8ce8f4421a73940c44ffb658c8f6	3.15	171809237	0x000000000000948f	operator_archive	2026-09-10
f337d1f81734103612d4041124ec6aeadcf2451da0a1f1914990cde1f8d9b625	4.11	198732944	0x000000000000d70e	operator_archive	2026-09-11
f6c93d01125f3345250bfd913cd8553985bcfe3b153c66996b9e7222a4aadd53	1.93	125279424	0x0000000000001d14	operator_archive	2026-09-10
f717e2db7acf4e7134089f542f36507a9f1a64cc8ce7c24a4b7c96a83902a57d	4.50	204177764	0x000000000000f1c2	operator_archive	2026-09-11
f9368f942418c01714784b94a6fdfc36a8cdbdb5e18aa275e60bbdfdafd235f6	4.70	206310111	0x000000000000fdd2	operator_archive	2026-09-11
f9663e2dd12599f7107bfa8817d07879efa018a954b1083f9b717115b15f490d	1.80	115956904	0x00000000000014ea	operator_archive	2026-09-10
fc1f8896cfe4f9ff73b07a2193c6de88b73415a2a52a4c6724ca9b6cf170529e	4.20	201528247	0x000000000000e243	operator_archive	2026-09-11
fdd01abbeaf00f8111b70520424351298795a951ca630cb850a2504d6cc052ae	3.72	194529720	0x000000000000cd55	operator_archive	2026-09-11
