ordinal	route	arm
0	null_backend	none
1	typed	ProcessGetPid
2	null_backend	none
3	null_backend	none
4	typed	ProcessGetStatus
5	null_backend	none
6	null_backend	none
7	null_backend	none
8	null_backend	none
9	null_backend	none
10	null_backend	none
11	null_backend	none
12	typed	ProcessGetNumberOfObject
13	null_backend	none
14	typed	ProcessIsSpuLockLineReservationAddress
15	null_backend	none
16	null_backend	none
17	null_backend	none
18	typed	ProcessGetPpid
19	null_backend	none
20	null_backend	none
21	typed	ProcessSpawn
22	typed	ProcessExit
23	null_backend	none
24	null_backend	none
25	typed	ProcessGetSdkVersion
26	typed	ProcessExit2
27	typed	ProcessSpawn
28	null_backend	none
29	null_backend	none
30	typed	ProcessGetParamsfo
31	typed	ProcessGetPpuGuid
32	null_backend	none
33	null_backend	none
34	null_backend	none
35	null_backend	none
36	null_backend	none
37	null_backend	none
38	null_backend	none
39	null_backend	none
40	null_backend	none
41	typed	PpuThreadExit
42	null_backend	none
43	typed	PpuThreadYield
44	typed	PpuThreadJoin
45	null_backend	none
46	null_backend	none
47	routed	PpuThreadSetPriority
48	routed	PpuThreadGetPriority
49	null_backend	none
50	null_backend	none
51	null_backend	none
52	typed	PpuThreadCreate
53	typed	PpuThreadStart
54	null_backend	none
55	null_backend	none
56	null_backend	none
57	null_backend	none
58	null_backend	none
59	null_backend	none
60	null_backend	none
61	null_backend	none
62	null_backend	none
63	null_backend	none
64	null_backend	none
65	null_backend	none
66	null_backend	none
67	null_backend	none
68	null_backend	none
69	null_backend	none
70	typed	TimerCreate
71	typed	TimerDestroy
72	null_backend	none
73	null_backend	none
74	null_backend	none
75	null_backend	none
76	null_backend	none
77	null_backend	none
78	null_backend	none
79	null_backend	none
80	null_backend	none
81	null_backend	none
82	typed	EventFlagCreate
83	typed	EventFlagDestroy
84	null_backend	none
85	typed	EventFlagWait
86	typed	EventFlagTryWait
87	typed	EventFlagSet
88	null_backend	none
89	null_backend	none
90	typed	SemaphoreCreate
91	typed	SemaphoreDestroy
92	typed	SemaphoreWait
93	typed	SemaphoreTryWait
94	typed	SemaphorePost
95	typed	LwMutexCreate
96	typed	LwMutexDestroy
97	typed	LwMutexLock
98	typed	LwMutexUnlock
99	typed	LwMutexTryLock
100	typed	MutexCreate
101	typed	MutexDestroy
102	typed	MutexLock
103	typed	MutexTryLock
104	typed	MutexUnlock
105	typed	CondCreate
106	typed	CondDestroy
107	typed	CondWait
108	typed	CondSignal
109	typed	CondSignalAll
110	typed	CondSignalTo
111	null_backend	none
112	null_backend	none
113	null_backend	none
114	typed	SemaphoreGetValue
115	null_backend	none
116	null_backend	none
117	null_backend	none
118	typed	EventFlagClear
119	null_backend	none
120	typed	RwlockCreate
121	typed	RwlockDestroy
122	null_backend	none
123	null_backend	none
124	null_backend	none
125	null_backend	none
126	null_backend	none
127	null_backend	none
128	typed	EventQueueCreate
129	typed	EventQueueDestroy
130	typed	EventQueueReceive
131	typed	EventQueueTryReceive
132	typed	EventFlagCancel
133	null_backend	none
134	typed	EventPortCreate
135	typed	EventPortDestroy
136	routed	EventPortConnectLocal
137	routed	EventPortDisconnect
138	typed	EventPortSend
139	typed	EventFlagGet
140	routed	EventPortConnectIpc
141	runtime_fast_path	none
142	runtime_fast_path	none
143	null_backend	none
144	typed	TimeGetTimezone
145	typed	TimeGetCurrentTime
146	null_backend	none
147	typed	TimeGetTimebaseFrequency
148	null_backend	none
149	null_backend	none
150	null_backend	none
151	null_backend	none
152	null_backend	none
153	null_backend	none
154	null_backend	none
155	null_backend	none
156	typed	SpuImageOpen
157	null_backend	none
158	typed	SpuImageImport
159	null_backend	none
160	null_backend	none
161	null_backend	none
162	null_backend	none
163	null_backend	none
164	null_backend	none
165	null_backend	none
166	null_backend	none
167	null_backend	none
168	null_backend	none
169	typed	SpuInitialize
170	typed	SpuThreadGroupCreate
171	typed	SpuThreadGroupDestroy
172	typed	SpuThreadInitialize
173	typed	SpuThreadGroupStart
174	null_backend	none
175	null_backend	none
176	null_backend	none
177	typed	SpuThreadGroupTerminate
178	typed	SpuThreadGroupJoin
179	null_backend	none
180	null_backend	none
181	null_backend	none
182	null_backend	none
183	null_backend	none
184	null_backend	none
185	null_backend	none
186	null_backend	none
187	null_backend	none
188	null_backend	none
189	null_backend	none
190	typed	SpuThreadWriteMb
191	null_backend	none
192	null_backend	none
193	null_backend	none
194	null_backend	none
195	null_backend	none
196	null_backend	none
197	null_backend	none
198	null_backend	none
199	null_backend	none
200	null_backend	none
201	null_backend	none
202	null_backend	none
203	null_backend	none
204	null_backend	none
205	null_backend	none
206	null_backend	none
207	null_backend	none
208	null_backend	none
209	null_backend	none
210	null_backend	none
211	null_backend	none
212	null_backend	none
213	null_backend	none
214	null_backend	none
215	null_backend	none
216	null_backend	none
217	null_backend	none
218	null_backend	none
219	null_backend	none
220	null_backend	none
221	null_backend	none
222	null_backend	none
223	null_backend	none
224	null_backend	none
225	null_backend	none
226	null_backend	none
227	null_backend	none
228	null_backend	none
229	null_backend	none
230	null_backend	none
231	null_backend	none
232	null_backend	none
233	null_backend	none
234	null_backend	none
235	null_backend	none
236	null_backend	none
237	null_backend	none
238	null_backend	none
239	null_backend	none
240	null_backend	none
241	null_backend	none
242	null_backend	none
243	null_backend	none
244	null_backend	none
245	null_backend	none
246	null_backend	none
247	null_backend	none
248	null_backend	none
249	null_backend	none
250	null_backend	none
251	null_backend	none
252	null_backend	none
253	null_backend	none
254	null_backend	none
255	null_backend	none
256	null_backend	none
257	null_backend	none
258	null_backend	none
259	null_backend	none
260	null_backend	none
261	null_backend	none
262	null_backend	none
263	null_backend	none
264	null_backend	none
265	null_backend	none
266	null_backend	none
267	null_backend	none
268	null_backend	none
269	null_backend	none
270	null_backend	none
271	null_backend	none
272	null_backend	none
273	null_backend	none
274	null_backend	none
275	null_backend	none
276	null_backend	none
277	null_backend	none
278	null_backend	none
279	null_backend	none
280	null_backend	none
281	null_backend	none
282	null_backend	none
283	null_backend	none
284	null_backend	none
285	null_backend	none
286	null_backend	none
287	null_backend	none
288	null_backend	none
289	null_backend	none
290	null_backend	none
291	null_backend	none
292	null_backend	none
293	null_backend	none
294	null_backend	none
295	null_backend	none
296	null_backend	none
297	null_backend	none
298	null_backend	none
299	null_backend	none
300	null_backend	none
301	null_backend	none
302	null_backend	none
303	null_backend	none
304	null_backend	none
305	null_backend	none
306	null_backend	none
307	null_backend	none
308	null_backend	none
309	null_backend	none
310	null_backend	none
311	null_backend	none
312	null_backend	none
313	null_backend	none
314	null_backend	none
315	null_backend	none
316	null_backend	none
317	null_backend	none
318	null_backend	none
319	null_backend	none
320	null_backend	none
321	null_backend	none
322	null_backend	none
