record	from_fw	to_fw	comparison	kind	ordinal
0	1.00	1.02	not_compared	none	none
1	1.02	1.10	compared	class_changed	639
2	1.02	1.10	compared	retargeted	0
3	1.02	1.10	compared	retargeted	20
4	1.02	1.10	compared	retargeted	27
5	1.02	1.10	compared	retargeted	41
6	1.02	1.10	compared	retargeted	42
7	1.02	1.10	compared	retargeted	84
8	1.02	1.10	compared	retargeted	114
9	1.02	1.10	compared	retargeted	132
10	1.02	1.10	compared	retargeted	139
11	1.02	1.10	compared	retargeted	162
12	1.02	1.10	compared	retargeted	163
13	1.02	1.10	compared	retargeted	164
14	1.02	1.10	compared	retargeted	168
15	1.02	1.10	compared	retargeted	183
16	1.02	1.10	compared	retargeted	189
17	1.02	1.10	compared	retargeted	195
18	1.02	1.10	compared	retargeted	344
19	1.02	1.10	compared	retargeted	347
20	1.02	1.10	compared	retargeted	354
21	1.02	1.10	compared	retargeted	388
22	1.02	1.10	compared	retargeted	389
23	1.02	1.10	compared	retargeted	461
24	1.02	1.10	compared	retargeted	491
25	1.02	1.10	compared	retargeted	559
26	1.02	1.10	compared	retargeted	570
27	1.02	1.10	compared	retargeted	571
28	1.02	1.10	compared	retargeted	572
29	1.02	1.10	compared	retargeted	573
30	1.02	1.10	compared	retargeted	577
31	1.02	1.10	compared	retargeted	600
32	1.02	1.10	compared	retargeted	609
33	1.02	1.10	compared	retargeted	610
34	1.02	1.10	compared	retargeted	611
35	1.02	1.10	compared	retargeted	618
36	1.02	1.10	compared	retargeted	649
37	1.02	1.10	compared	retargeted	800
38	1.02	1.10	compared	retargeted	830
39	1.02	1.10	compared	retargeted	831
40	1.02	1.10	compared	retargeted	832
41	1.02	1.10	compared	retargeted	835
42	1.02	1.10	compared	retargeted	870
43	1.10	1.11	compared	retargeted	41
44	1.10	1.11	compared	retargeted	84
45	1.10	1.11	compared	retargeted	114
46	1.10	1.11	compared	retargeted	163
47	1.10	1.11	compared	retargeted	388
48	1.10	1.11	compared	retargeted	389
49	1.11	1.30	compared	class_changed	110
50	1.11	1.30	compared	class_changed	574
51	1.11	1.30	compared	class_changed	635
52	1.11	1.30	compared	retargeted	0
53	1.11	1.30	compared	retargeted	20
54	1.11	1.30	compared	retargeted	27
55	1.11	1.30	compared	retargeted	41
56	1.11	1.30	compared	retargeted	42
57	1.11	1.30	compared	retargeted	84
58	1.11	1.30	compared	retargeted	109
59	1.11	1.30	compared	retargeted	114
60	1.11	1.30	compared	retargeted	132
61	1.11	1.30	compared	retargeted	139
62	1.11	1.30	compared	retargeted	162
63	1.11	1.30	compared	retargeted	163
64	1.11	1.30	compared	retargeted	164
65	1.11	1.30	compared	retargeted	168
66	1.11	1.30	compared	retargeted	183
67	1.11	1.30	compared	retargeted	189
68	1.11	1.30	compared	retargeted	195
69	1.11	1.30	compared	retargeted	344
70	1.11	1.30	compared	retargeted	347
71	1.11	1.30	compared	retargeted	354
72	1.11	1.30	compared	retargeted	388
73	1.11	1.30	compared	retargeted	389
74	1.11	1.30	compared	retargeted	398
75	1.11	1.30	compared	retargeted	399
76	1.11	1.30	compared	retargeted	491
77	1.11	1.30	compared	retargeted	570
78	1.11	1.30	compared	retargeted	573
79	1.11	1.30	compared	retargeted	577
80	1.11	1.30	compared	retargeted	597
81	1.11	1.30	compared	retargeted	861
82	1.11	1.30	compared	retargeted	862
83	1.11	1.30	compared	retargeted	869
84	1.11	1.30	compared	retargeted	870
85	1.11	1.30	compared	retargeted	871
86	1.30	1.31	compared	retargeted	0
87	1.30	1.31	compared	retargeted	20
88	1.30	1.31	compared	retargeted	27
89	1.30	1.31	compared	retargeted	41
90	1.30	1.31	compared	retargeted	42
91	1.30	1.31	compared	retargeted	114
92	1.30	1.31	compared	retargeted	132
93	1.30	1.31	compared	retargeted	139
94	1.30	1.31	compared	retargeted	162
95	1.30	1.31	compared	retargeted	163
96	1.30	1.31	compared	retargeted	164
97	1.30	1.31	compared	retargeted	168
98	1.30	1.31	compared	retargeted	183
99	1.30	1.31	compared	retargeted	189
100	1.30	1.31	compared	retargeted	195
101	1.30	1.31	compared	retargeted	344
102	1.30	1.31	compared	retargeted	347
103	1.30	1.31	compared	retargeted	354
104	1.30	1.31	compared	retargeted	388
105	1.30	1.31	compared	retargeted	491
106	1.30	1.31	compared	retargeted	577
107	1.31	1.32	compared	retargeted	0
108	1.31	1.32	compared	retargeted	20
109	1.31	1.32	compared	retargeted	27
110	1.31	1.32	compared	retargeted	42
111	1.31	1.32	compared	retargeted	132
112	1.31	1.32	compared	retargeted	139
113	1.31	1.32	compared	retargeted	162
114	1.31	1.32	compared	retargeted	164
115	1.31	1.32	compared	retargeted	168
116	1.31	1.32	compared	retargeted	183
117	1.31	1.32	compared	retargeted	189
118	1.31	1.32	compared	retargeted	195
119	1.31	1.32	compared	retargeted	344
120	1.31	1.32	compared	retargeted	347
121	1.31	1.32	compared	retargeted	354
122	1.31	1.32	compared	retargeted	491
123	1.31	1.32	compared	retargeted	577
124	1.32	1.50	compared	class_changed	12
125	1.32	1.50	compared	class_changed	13
126	1.32	1.50	compared	class_changed	361
127	1.32	1.50	compared	class_changed	362
128	1.32	1.50	compared	class_changed	363
129	1.32	1.50	compared	class_changed	932
130	1.32	1.50	compared	class_changed	933
131	1.32	1.50	compared	class_changed	934
132	1.32	1.50	compared	class_changed	935
133	1.32	1.50	compared	class_changed	936
134	1.32	1.50	compared	class_changed	937
135	1.32	1.50	compared	class_changed	938
136	1.32	1.50	compared	class_changed	941
137	1.32	1.50	compared	class_changed	942
138	1.32	1.50	compared	class_changed	943
139	1.32	1.50	compared	class_changed	946
140	1.32	1.50	compared	class_changed	947
141	1.32	1.50	compared	retargeted	0
142	1.32	1.50	compared	retargeted	20
143	1.32	1.50	compared	retargeted	25
144	1.32	1.50	compared	retargeted	26
145	1.32	1.50	compared	retargeted	27
146	1.32	1.50	compared	retargeted	41
147	1.32	1.50	compared	retargeted	42
148	1.32	1.50	compared	retargeted	95
149	1.32	1.50	compared	retargeted	99
150	1.32	1.50	compared	retargeted	114
151	1.32	1.50	compared	retargeted	132
152	1.32	1.50	compared	retargeted	139
153	1.32	1.50	compared	retargeted	140
154	1.32	1.50	compared	retargeted	162
155	1.32	1.50	compared	retargeted	163
156	1.32	1.50	compared	retargeted	164
157	1.32	1.50	compared	retargeted	168
158	1.32	1.50	compared	retargeted	183
159	1.32	1.50	compared	retargeted	189
160	1.32	1.50	compared	retargeted	195
161	1.32	1.50	compared	retargeted	329
162	1.32	1.50	compared	retargeted	332
163	1.32	1.50	compared	retargeted	339
164	1.32	1.50	compared	retargeted	340
165	1.32	1.50	compared	retargeted	341
166	1.32	1.50	compared	retargeted	344
167	1.32	1.50	compared	retargeted	347
168	1.32	1.50	compared	retargeted	354
169	1.32	1.50	compared	retargeted	359
170	1.32	1.50	compared	retargeted	360
171	1.32	1.50	compared	retargeted	388
172	1.32	1.50	compared	retargeted	461
173	1.32	1.50	compared	retargeted	491
174	1.32	1.50	compared	retargeted	577
175	1.32	1.50	compared	retargeted	635
176	1.32	1.50	compared	retargeted	639
177	1.32	1.50	compared	retargeted	640
